palabra,score_promedio_tfidf,frecuencia_total,n_docs_con_palabra
model,0.03014054622669075,1676,660
data,0.029834252245452313,1601,618
study,0.0198583991486074,1181,728
based,0.01902709764807185,1130,740
learning,0.02345573024469545,1016,386
method,0.020007299793273838,924,484
results,0.01575955617891812,912,732
research,0.0163899253847571,849,529
analysis,0.01698219409880867,836,509
accuracy,0.017078082443243527,786,443
algorithm,0.01897848939811803,755,316
time,0.015614143320058421,685,422
design,0.017305083075034016,680,299
students,0.016224835344577727,557,181
teaching,0.01732340450239637,541,145
